model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_70,0.89111959160975,0.6421489036706859,0.8853084439374268,0.8292239113002164,0.6670459724645923,0.0,0.0,0.0,70.0
round_71,0.8986707675734287,0.636797905624124,0.8788299151765321,0.854030148531721,0.6629851918190545,0.0,0.0,0.0,71.0
round_72,0.8944186772923208,0.6432681863710074,0.8967451846871782,0.84440002807363,0.6683832354631387,0.0,0.0,0.0,72.0
round_73,0.8888691905208822,0.6394292978393569,0.8970122019046769,0.8446017542060159,0.6643732871075094,0.0,0.0,0.0,73.0
round_74,0.8881729822779681,0.6427398662578191,0.9192157360208808,0.8231828477268796,0.667283177859834,0.0,0.0,0.0,74.0
round_75,0.8866740661352425,0.6409753145358592,0.9099648608185408,0.8357134295960267,0.6655451896957976,0.0,0.0,0.0,75.0
round_76,0.8949135707898664,0.6475517056561267,0.8928953302680941,0.8393854606708299,0.6722878921695008,0.0,0.0,0.0,76.0
round_77,0.894427748772573,0.6430369743131248,0.9035601066002419,0.8399816983885159,0.6681760517590696,0.0,0.0,0.0,77.0
round_78,0.8904524042873768,0.6439468255022955,0.8918362103859057,0.8462448659925516,0.6685973833808037,0.0,0.0,0.0,78.0
round_79,0.8952561829274054,0.6434641962653335,0.9045774642369492,0.8419043055267702,0.6686433949315407,0.0,0.0,0.0,79.0
round_80,0.8949788267468903,0.6444412106852445,0.8970244166939628,0.8427140183330994,0.6694949722914091,0.0,0.0,0.0,80.0
round_81,0.8874595508480454,0.6465094549502731,0.8985603969795355,0.8306012971265978,0.6706044645400504,0.0,0.0,0.0,81.0
round_82,0.8862235551083858,0.6335039828393912,0.8831604790738964,0.8426466644062023,0.6587759400662907,0.0,0.0,0.0,82.0
round_83,0.8902075752060803,0.6416241373464024,0.8963077414409986,0.8428094246573832,0.6664824811323702,0.0,0.0,0.0,83.0
round_84,0.884522902795121,0.6388954129692159,0.8950852459624138,0.8237472694030211,0.6634581619518064,0.0,0.0,0.0,84.0
round_85,0.890567430202364,0.6453331554504983,0.929396592916183,0.8314311233401778,0.6698565829256848,0.0,0.0,0.0,85.0
round_86,0.8956812053784945,0.647618118524574,0.922187939724718,0.8360607970937701,0.6724244272099661,0.0,0.0,0.0,86.0
round_87,0.8994626339851637,0.6440180256635087,0.898853926084581,0.8391889196643569,0.6695624864956743,0.0,0.0,0.0,87.0
round_88,0.8884893814224203,0.6406991620039846,0.8892282310955666,0.8448250011653655,0.6654781839458281,0.0,0.0,0.0,88.0
round_89,0.8926882975824969,0.6373761434493211,0.8956045386196588,0.8463324362084593,0.6629073588626387,0.0,0.0,0.0,89.0
round_90,0.904560222211637,0.647053036656193,0.8936013324281105,0.8497516939834554,0.6728037552117373,0.0,0.0,0.0,90.0
round_91,0.8913312969238695,0.6377705162029782,0.9178359482086733,0.8204277975930295,0.6631265942750674,0.0,0.0,0.0,91.0
round_92,0.8981271162885767,0.6396082157163215,0.9042453830866791,0.8280768101079696,0.665460105773547,0.0,0.0,0.0,92.0
round_93,0.8921602897903943,0.6390713949905851,0.897735187870241,0.835393007556953,0.6643802844705661,0.0,0.0,0.0,93.0
round_94,0.8978245460952149,0.6458032140257745,0.9339007830151325,0.8130841561793877,0.6710053472327185,0.0,0.0,0.0,94.0
round_95,0.887730609425639,0.6379567516308685,0.9322746997974586,0.7977634378530899,0.6629341374103456,0.0,0.0,0.0,95.0
round_96,0.8950410542406396,0.6434842002168842,0.8920415784281548,0.8411831353541351,0.6686398856192598,0.0,0.0,0.0,96.0
round_97,0.9042256383325455,0.639638377334023,0.9135541605154621,0.8373603345452894,0.6660971034338752,0.0,0.0,0.0,97.0
round_98,0.903338396057004,0.6455490075547972,0.9486390137156832,0.8073009830476764,0.6713279464050179,0.0,0.0,0.0,98.0
round_99,0.8977932145206824,0.6485912101141333,0.8855781192702906,0.8421257340867376,0.6735114105547882,0.0,0.0,0.0,99.0
round_100,0.8935092996725241,0.6460968997821018,0.9280402816366607,0.8113248733331477,0.670838139771144,0.0,0.0,0.0,100.0
latest,0.8935092996725241,0.6460968997821018,0.9280402816366607,0.8113248733331477,0.670838139771144,0.0,0.0,0.0,inf
