model,mAP50,mAP50-95,precision,recall,fitness,inference_time,nms_time,total_time,round_num
round_73,0.8990384719520735,0.6431043665395896,0.9142288820588848,0.8292197912292288,0.668697777080838,0.0,0.0,0.0,73.0
round_74,0.8842511130187035,0.6405443547556163,0.9086495640657475,0.8459381929510571,0.664915030581925,0.0,0.0,0.0,74.0
round_75,0.9006748860371945,0.6384323088455742,0.907504163190268,0.8468416157636286,0.6646565665647363,0.0,0.0,0.0,75.0
round_76,0.8963456008072533,0.6328773098845806,0.9101708419689075,0.8343823060891806,0.6592241389768478,0.0,0.0,0.0,76.0
round_77,0.8853271157692858,0.6419335143622817,0.911653336118958,0.829859352340924,0.6662728745029821,0.0,0.0,0.0,77.0
round_78,0.9024098394929398,0.6501659373227938,0.8915460792838416,0.862536383071804,0.6753903275398084,0.0,0.0,0.0,78.0
round_79,0.9007124696004464,0.6404913268097335,0.8936808267157195,0.8311146391323242,0.6665134410888048,0.0,0.0,0.0,79.0
round_80,0.8778001944664496,0.6333423066337921,0.9147019366116969,0.8150839914951403,0.6577880954170578,0.0,0.0,0.0,80.0
round_81,0.8872009533827765,0.643206734750473,0.909016893997878,0.8498433561996076,0.6676061566137033,0.0,0.0,0.0,81.0
round_82,0.8868833284356361,0.6405337598771509,0.90984045794065,0.8370006439299231,0.6651687167329994,0.0,0.0,0.0,82.0
round_83,0.8919687748483204,0.6437280039353894,0.8993295773668829,0.8403929296151268,0.6685520810266826,0.0,0.0,0.0,83.0
round_84,0.8866662331201479,0.6423993735948609,0.9091698470503123,0.8477818657740421,0.6668260595473896,0.0,0.0,0.0,84.0
round_85,0.9027348634606426,0.6443158622905616,0.8648626513548675,0.8600214398439923,0.6701577624075697,0.0,0.0,0.0,85.0
round_86,0.8833839168345292,0.6379196646682521,0.9203176570890527,0.8463037435038052,0.6624660898848799,0.0,0.0,0.0,86.0
round_87,0.8930588078436444,0.6336593931137308,0.9172366633560515,0.8397782998216147,0.6595993345867222,0.0,0.0,0.0,87.0
round_88,0.898934250894798,0.6396465230752908,0.9347610277540375,0.8215214920508923,0.6655752958572416,0.0,0.0,0.0,88.0
round_89,0.9047272762532871,0.6412127788232473,0.8726881633974676,0.8739323670705385,0.6675642285662513,0.0,0.0,0.0,89.0
round_90,0.8950182918395182,0.6486152583557105,0.9277826850281657,0.8347303720476563,0.6732555617040914,0.0,0.0,0.0,90.0
round_91,0.8879809134094957,0.6372820720532332,0.9216744331686092,0.8178462081925751,0.6623519561888593,0.0,0.0,0.0,91.0
round_92,0.8911558596957064,0.633902051009177,0.8991536457478747,0.8482961089457284,0.6596274318778299,0.0,0.0,0.0,92.0
round_93,0.8962893680357501,0.6427925057690403,0.9161055197380142,0.8467299912933676,0.6681421919957113,0.0,0.0,0.0,93.0
round_94,0.8842458296541078,0.6346574228622573,0.9208429261323176,0.836578290793003,0.6596162635414424,0.0,0.0,0.0,94.0
round_95,0.8991012188873803,0.6363442754581186,0.8787228710038345,0.8607829759051127,0.6626199698010448,0.0,0.0,0.0,95.0
round_96,0.897137790295298,0.6242500505130741,0.8891226183771935,0.8541759562625642,0.6515388244912965,0.0,0.0,0.0,96.0
round_97,0.9019277380748719,0.6431975552227673,0.875228757505144,0.8780532718109221,0.6690705735079778,0.0,0.0,0.0,97.0
round_98,0.8985337556341787,0.6333085952568795,0.8733640307520719,0.8806628256747153,0.6598311112946095,0.0,0.0,0.0,98.0
round_99,0.8838725453863614,0.6353802501315114,0.9194692678577079,0.8330678876000108,0.6602294796569965,0.0,0.0,0.0,99.0
round_100,0.8842451661689104,0.6352178863112283,0.9199099548109456,0.84685523693895,0.6601206142969966,0.0,0.0,0.0,100.0
latest,0.8842451661689104,0.6352178863112283,0.9199099548109456,0.84685523693895,0.6601206142969966,0.0,0.0,0.0,inf
